mkt_shr,Restaurant.name,Review.date,score_t0,score_t1,score_t2,score_t3,score_t4
0.013084112149532711,Taquería Tequila Authentic Mexican Food,201604,21.0,-6.0,5.0,-3.0,11.0
0.029906542056074768,Villa Escondida,201604,55.0,28.0,23.0,30.0,38.0
0.03367003367003367,Barrio Mexican Kitchen & Bar,201701,85.0,6.0,117.0,91.0,90.0
0.04713804713804714,Cactus Restaurants,201701,7.0,107.0,141.0,72.0,21.0
0.015151515151515152,Cafetal Quilombo,201701,0.0,86.0,17.0,25.0,11.0
0.020202020202020204,Cantina Leña,201701,7.0,7.0,16.0,114.0,44.0
0.005050505050505051,Casa Patrón,201701,3.0,0.0,10.0,0.0,4.0
0.04040404040404041,Casco Antiguo,201701,11.0,56.0,23.0,85.0,108.0
0.05723905723905724,El Borracho,201701,98.0,82.0,119.0,76.0,52.0
0.025252525252525252,El Camión,201701,9.0,64.0,-12.0,25.0,20.0
0.005050505050505051,El Legendario Mexican Restaurant,201701,13.0,0.0,37.0,0.0,0.0
0.006734006734006734,El Ranchon,201701,9.0,0.0,0.0,12.0,50.0
0.008417508417508417,El Sirenito,201701,26.0,7.0,8.0,65.0,18.0
0.006734006734006734,El Sombrero Family Mexican Restaurant,201701,-1.0,0.0,40.0,32.0,0.0
0.10942760942760943,Fogón Cocina Mexicana,201701,172.0,241.0,209.0,194.0,212.0
0.04713804713804714,Fonda La Catrina,201701,58.0,56.0,42.0,57.0,89.0
0.021885521885521887,Gordito’s,201701,4.0,48.0,19.0,25.0,37.0
0.025252525252525252,Gracia,201701,12.0,0.0,14.0,77.0,35.0
0.025252525252525252,La Carta de Oaxaca,201701,11.0,36.0,36.0,50.0,65.0
0.02861952861952862,La Cocina Oaxaquena,201701,77.0,75.0,38.0,15.0,12.0
0.006734006734006734,Los Agaves,201701,8.0,0.0,15.0,0.0,0.0
0.018518518518518517,Mezcaleria Oaxaca,201701,36.0,13.0,14.0,28.0,-5.0
0.013468013468013467,Pecado Bueno,201701,23.0,0.0,40.0,11.0,16.0
0.011784511784511785,Plaza Garibaldi,201701,16.0,36.0,0.0,18.0,14.0
0.037037037037037035,Poquitos,201701,99.0,40.0,25.0,25.0,20.0
0.020202020202020204,Rosita’s Mexican Grill,201701,21.0,0.0,27.0,66.0,11.0
0.011784511784511785,Senor Moose Cafe,201701,0.0,14.0,0.0,32.0,56.0
0.09259259259259259,Tacos Chukis,201701,46.0,164.0,154.0,85.0,128.0
0.003367003367003367,Taquería Tequila Authentic Mexican Food,201701,7.0,4.0,0.0,0.0,0.0
0.05387205387205387,Villa Escondida,201701,64.0,29.0,68.0,33.0,144.0
0.026845637583892617,Barrio Mexican Kitchen & Bar,201702,36.0,26.0,43.0,82.0,62.0
0.05906040268456376,Cactus Restaurants,201702,146.0,40.0,159.0,95.0,156.0
0.006711409395973154,Cafetal Quilombo,201702,18.0,9.0,16.0,11.0,0.0
0.024161073825503355,Cantina Leña,201702,31.0,36.0,3.0,22.0,47.0
0.010738255033557046,Casa Patrón,201702,1.0,61.0,27.0,35.0,0.0
0.040268456375838924,Casco Antiguo,201702,121.0,120.0,22.0,78.0,17.0
0.05771812080536913,El Borracho,201702,117.0,19.0,90.0,100.0,112.0
0.022818791946308724,El Camión,201702,49.0,39.0,43.0,43.0,27.0
0.026845637583892617,El Legendario Mexican Restaurant,201702,62.0,22.0,-1.0,66.0,29.0
0.004026845637583893,El Ranchon,201702,9.0,-2.0,0.0,14.0,0.0
