,Address,Business info,Price range,Restaurant name,Review counts,Yes/No
121,"1521 1st Ave, Seattle, WA 98101",Delivery,20.5,El Borracho,709,No
122,"1521 1st Ave, Seattle, WA 98101",Take-out,20.5,El Borracho,709,Yes
123,"1521 1st Ave, Seattle, WA 98101",Accepts Credit Cards,20.5,El Borracho,709,Yes
124,"1521 1st Ave, Seattle, WA 98101",Accepts Apple Pay,20.5,El Borracho,709,No
125,"1521 1st Ave, Seattle, WA 98101",Accepts Google Pay,20.5,El Borracho,709,No
126,"1521 1st Ave, Seattle, WA 98101",Accepts Bitcoin,20.5,El Borracho,709,No
127,"1521 1st Ave, Seattle, WA 98101",Good For,20.5,El Borracho,709,"Lunch, Dinner"
128,"1521 1st Ave, Seattle, WA 98101",Parking,20.5,El Borracho,709,Street
129,"1521 1st Ave, Seattle, WA 98101",Bike Parking,20.5,El Borracho,709,Yes
130,"1521 1st Ave, Seattle, WA 98101",Wheelchair Accessible,20.5,El Borracho,709,Yes
131,"1521 1st Ave, Seattle, WA 98101",Good for Kids,20.5,El Borracho,709,No
132,"1521 1st Ave, Seattle, WA 98101",Good for Groups,20.5,El Borracho,709,Yes
133,"1521 1st Ave, Seattle, WA 98101",Attire,20.5,El Borracho,709,Casual
134,"1521 1st Ave, Seattle, WA 98101",Ambience,20.5,El Borracho,709,Casual
135,"1521 1st Ave, Seattle, WA 98101",Noise Level,20.5,El Borracho,709,Average
136,"1521 1st Ave, Seattle, WA 98101",Alcohol,20.5,El Borracho,709,Full Bar
137,"1521 1st Ave, Seattle, WA 98101",Happy Hour,20.5,El Borracho,709,Yes
138,"1521 1st Ave, Seattle, WA 98101",Outdoor Seating,20.5,El Borracho,709,Yes
139,"1521 1st Ave, Seattle, WA 98101",Wi-Fi,20.5,El Borracho,709,No
140,"1521 1st Ave, Seattle, WA 98101",Has TV,20.5,El Borracho,709,Yes
141,"1521 1st Ave, Seattle, WA 98101",Dogs Allowed,20.5,El Borracho,709,No
142,"1521 1st Ave, Seattle, WA 98101",Waiter Service,20.5,El Borracho,709,Yes
143,"1521 1st Ave, Seattle, WA 98101",Caters,20.5,El Borracho,709,No
144,"1521 1st Ave, Seattle, WA 98101",Gender Neutral Restrooms,20.5,El Borracho,709,Yes
145,"1216 Pine St, Seattle, WA 98101",Liked by Vegans,20.5,La Cocina Oaxaquena,410,Yes
146,"1216 Pine St, Seattle, WA 98101",Liked by Vegetarians,20.5,La Cocina Oaxaquena,410,Yes
147,"1216 Pine St, Seattle, WA 98101",Takes Reservations,20.5,La Cocina Oaxaquena,410,Yes
148,"1216 Pine St, Seattle, WA 98101",Delivery,20.5,La Cocina Oaxaquena,410,Yes
149,"1216 Pine St, Seattle, WA 98101",Take-out,20.5,La Cocina Oaxaquena,410,Yes
150,"1216 Pine St, Seattle, WA 98101",Accepts Credit Cards,20.5,La Cocina Oaxaquena,410,Yes
151,"1216 Pine St, Seattle, WA 98101",Accepts Apple Pay,20.5,La Cocina Oaxaquena,410,No
152,"1216 Pine St, Seattle, WA 98101",Good For,20.5,La Cocina Oaxaquena,410,Dinner
153,"1216 Pine St, Seattle, WA 98101",Parking,20.5,La Cocina Oaxaquena,410,Street
154,"1216 Pine St, Seattle, WA 98101",Bike Parking,20.5,La Cocina Oaxaquena,410,Yes
155,"1216 Pine St, Seattle, WA 98101",Good for Kids,20.5,La Cocina Oaxaquena,410,Yes
156,"1216 Pine St, Seattle, WA 98101",Good for Groups,20.5,La Cocina Oaxaquena,410,Yes
157,"1216 Pine St, Seattle, WA 98101",Attire,20.5,La Cocina Oaxaquena,410,Casual
158,"1216 Pine St, Seattle, WA 98101",Ambience,20.5,La Cocina Oaxaquena,410,Casual
159,"1216 Pine St, Seattle, WA 98101",Noise Level,20.5,La Cocina Oaxaquena,410,Average
160,"1216 Pine St, Seattle, WA 98101",Alcohol,20.5,La Cocina Oaxaquena,410,Full Bar
161,"1216 Pine St, Seattle, WA 98101",Happy Hour,20.5,La Cocina Oaxaquena,410,Yes
162,"1216 Pine St, Seattle, WA 98101",Best Nights,20.5,La Cocina Oaxaquena,410,Fri
163,"1216 Pine St, Seattle, WA 98101",Coat Check,20.5,La Cocina Oaxaquena,410,No
164,"1216 Pine St, Seattle, WA 98101",Smoking,20.5,La Cocina Oaxaquena,410,No
165,"1216 Pine St, Seattle, WA 98101",Outdoor Seating,20.5,La Cocina Oaxaquena,410,Yes
166,"1216 Pine St, Seattle, WA 98101",Wi-Fi,20.5,La Cocina Oaxaquena,410,No
167,"1216 Pine St, Seattle, WA 98101",Has TV,20.5,La Cocina Oaxaquena,410,Yes
168,"1216 Pine St, Seattle, WA 98101",Dogs Allowed,20.5,La Cocina Oaxaquena,410,Yes
169,"1216 Pine St, Seattle, WA 98101",Caters,20.5,La Cocina Oaxaquena,410,Yes
170,"1216 Pine St, Seattle, WA 98101",Has Pool Table,20.5,La Cocina Oaxaquena,410,No
171,"115 Occidental Ave S, Seattle, WA 98104",Liked by Vegans,20.5,Casco Antiguo,423,Yes
172,"115 Occidental Ave S, Seattle, WA 98104",Liked by Vegetarians,20.5,Casco Antiguo,423,Yes
173,"115 Occidental Ave S, Seattle, WA 98104",Takes Reservations,20.5,Casco Antiguo,423,Yes
174,"115 Occidental Ave S, Seattle, WA 98104",Delivery,20.5,Casco Antiguo,423,No
175,"115 Occidental Ave S, Seattle, WA 98104",Take-out,20.5,Casco Antiguo,423,Yes
176,"115 Occidental Ave S, Seattle, WA 98104",Accepts Credit Cards,20.5,Casco Antiguo,423,Yes
177,"115 Occidental Ave S, Seattle, WA 98104",Accepts Apple Pay,20.5,Casco Antiguo,423,No
178,"115 Occidental Ave S, Seattle, WA 98104",Good For,20.5,Casco Antiguo,423,"Lunch, Dinner"
179,"115 Occidental Ave S, Seattle, WA 98104",Parking,20.5,Casco Antiguo,423,Street
180,"115 Occidental Ave S, Seattle, WA 98104",Bike Parking,20.5,Casco Antiguo,423,Yes
181,"115 Occidental Ave S, Seattle, WA 98104",Good for Kids,20.5,Casco Antiguo,423,No
182,"115 Occidental Ave S, Seattle, WA 98104",Good for Groups,20.5,Casco Antiguo,423,Yes
183,"115 Occidental Ave S, Seattle, WA 98104",Attire,20.5,Casco Antiguo,423,Casual
184,"115 Occidental Ave S, Seattle, WA 98104",Ambience,20.5,Casco Antiguo,423,"Casual, Trendy"
185,"115 Occidental Ave S, Seattle, WA 98104",Noise Level,20.5,Casco Antiguo,423,Average
186,"115 Occidental Ave S, Seattle, WA 98104",Good For Dancing,20.5,Casco Antiguo,423,No
187,"115 Occidental Ave S, Seattle, WA 98104",Alcohol,20.5,Casco Antiguo,423,Full Bar
188,"115 Occidental Ave S, Seattle, WA 98104",Happy Hour,20.5,Casco Antiguo,423,Yes
189,"115 Occidental Ave S, Seattle, WA 98104",Best Nights,20.5,Casco Antiguo,423,"Thu, Fri, Sat"
190,"115 Occidental Ave S, Seattle, WA 98104",Coat Check,20.5,Casco Antiguo,423,No
191,"115 Occidental Ave S, Seattle, WA 98104",Smoking,20.5,Casco Antiguo,423,No
192,"115 Occidental Ave S, Seattle, WA 98104",Outdoor Seating,20.5,Casco Antiguo,423,Yes
193,"115 Occidental Ave S, Seattle, WA 98104",Wi-Fi,20.5,Casco Antiguo,423,Free
194,"115 Occidental Ave S, Seattle, WA 98104",Has TV,20.5,Casco Antiguo,423,Yes
195,"115 Occidental Ave S, Seattle, WA 98104",Waiter Service,20.5,Casco Antiguo,423,Yes
196,"115 Occidental Ave S, Seattle, WA 98104",Caters,20.5,Casco Antiguo,423,Yes
197,"115 Occidental Ave S, Seattle, WA 98104",Has Pool Table,20.5,Casco Antiguo,423,No
198,"2123 Queen Anne Ave N, Seattle, WA 98109",Liked by Vegetarians,20.5,Mezcaleria Oaxaca,361,Yes
199,"2123 Queen Anne Ave N, Seattle, WA 98109",Takes Reservations,20.5,Mezcaleria Oaxaca,361,No
200,"2123 Queen Anne Ave N, Seattle, WA 98109",Delivery,20.5,Mezcaleria Oaxaca,361,No
201,"2123 Queen Anne Ave N, Seattle, WA 98109",Take-out,20.5,Mezcaleria Oaxaca,361,Yes
202,"2123 Queen Anne Ave N, Seattle, WA 98109",Accepts Credit Cards,20.5,Mezcaleria Oaxaca,361,Yes
203,"2123 Queen Anne Ave N, Seattle, WA 98109",Accepts Apple Pay,20.5,Mezcaleria Oaxaca,361,No
204,"2123 Queen Anne Ave N, Seattle, WA 98109",Good For,20.5,Mezcaleria Oaxaca,361,Dinner
205,"2123 Queen Anne Ave N, Seattle, WA 98109",Parking,20.5,Mezcaleria Oaxaca,361,Street
